1  4  1
1  5  1
1  24  1
1  26  2
7  1  1
7  13  2
7  26  1
7  28  1
8  20  1
10  17  2
13  16  4
13  28  2
14  1  1
14  3  1
14  5  1
14  7  1
14  8  1
14  10  1
14  11  1
14  12  1
14  13  1
14  14  1
14  17  1
14  18  1
14  20  1
14  24  1
14  26  1
14  27  1
14  28  5
15  19  3
15  28  1
16  13  1
16  16  4
16  26  1
18  10  1
18  26  1
20  17  3
22  11  6
22  17  3
25  8  1
25  17  3
25  18  1
25  20  1
25  22  1
25  24  1
25  26  1
27  8  1
27  10  1
27  11  3
27  17  6
27  18  1
27  20  1
27  22  9
27  24  1
28  7  1
28  10  1
28  12  2
28  13  4
28  15  1
28  16  1
28  21  2
28  25  1
28  26  1
28  28  3
